country,city_name,total_cycle_km,total_road_km,off_road_km,segregated_wide_km,segregated_narrow_km,painted_km,shared_footway_km,high_los_km,high_medium_los_km
Albania,Tirana,64.35,604.38,15.74,6.69,28.64,9.38,3.88,346.93,351
Austria,Graz,177.42,970.79,72.45,1.38,12.79,36.86,53.93,641.93,648.81
Austria,Wien,958.83,3047.06,397.54,43.59,162.25,269.66,85.79,1774.79,1819.73
Belgium,Bruxelles / Brussel,148.52,384.75,19.97,9.68,39.18,69.41,10.28,215.14,231.3
Belgium,Liège,143.54,668.6,61.24,3.97,7.61,36.77,33.96,296.48,308.4
Bulgaria,Burgas,58.14,610.54,17.82,1.97,25.15,2.13,11.07,185.4,185.75
Bulgaria,Sofia,190.24,2447.99,98.43,0.66,32.08,38.51,20.56,1401.36,1445.77
Croatia,Zagreb,365.81,2930.08,190.46,3.19,100.73,44.09,27.34,1600.77,1693.89
Cyprus,Lefkosia,20.93,2611.28,15.95,0,0,0.47,4.51,1025.97,1028.77
Czech Republic,Ostrava,151.48,1212.57,95.17,1.2,14.41,18.11,22.59,638.82,663.34
Czech Republic,Praha,686.91,3700.52,311.03,1.1,12.45,271.78,90.54,1960.13,2010.19
Denmark,Aalborg,494.48,2003.88,222.68,1.42,155.66,36.84,77.86,680.26,716.46
Denmark,København,1295.44,3327.86,544.16,39.69,523.43,74.11,114.05,814.9,1266.89
Estonia,Tallinn,448.62,1159.78,256.12,4.36,19.16,29.88,139.1,492.26,503.13
Finland,Helsinki / Helsingfors,1499.02,1615.15,1012.02,10.55,179.55,34.52,262.38,719.19,929.31
Finland,Oulu / Uleåborg,0,520.65,0,0,0,0,0,17.09,17.09
France,Bordeaux,1406.56,6715.57,329.46,23.98,319.41,562.21,171.49,3302.78,3358.34
France,Lille,1376.79,5994.53,323.48,23.7,287.67,613.96,127.98,3034.17,3127.1
France,Marseille,178.54,1771.6,40.96,6.1,69.55,50.22,11.72,1001.82,1006.05
France,Paris,1910.57,4641.51,255.33,107.68,709.68,785.13,52.75,2590.71,2744.59
France,Rennes,1171.03,6941.39,457.04,22.98,231.38,318.35,141.28,1791.12,1866.89
France,Strasbourg,292.08,644.04,91.79,24.65,108.06,45.31,22.27,292.54,296.48
Germany,Berlin,2246.91,6217.81,703.66,63.96,844.84,434.71,199.74,3693.73,3772.32
Germany,Dortmund,650.22,2025.1,305.44,3.57,112.95,117.83,110.43,1063.11,1090.76
Germany,Essen,367.92,1752.9,196.4,1.64,44.99,57.76,67.12,1035.13,1053.58
Germany,Hamburg,1492.53,4408.48,582.9,50.24,468.17,189.76,201.45,2283.82,2345.2
Germany,Leipzig,597.56,1689.11,267.73,11.63,99.48,119.34,99.38,912.93,940.76
Germany,München,1479.34,2808.86,634.91,71.92,577.05,50.32,145.13,1648.21,1699.61
Germany,Rostock,247.3,723.39,95.44,8.39,28.62,22.16,92.69,358.5,376.98
Greece,Athina,174.49,10228.41,86.98,6.67,42.45,20.25,18.14,6912.13,6952.4
Greece,Irakleio,0.58,25.2,0.37,0,0.21,0,0,19.53,19.59
Hungary,Budapest,482.97,4608.32,108.5,17.41,75.07,244.6,37.39,2759.97,2787.35
Hungary,Miskolc,48.56,828.19,20.6,0.03,5.75,18.81,3.38,593.32,596.37
Iceland,Reykjavík,325.56,734.28,246.9,2.74,15.83,10.91,49.19,308.51,325.61
Ireland,Dublin,243.4,1371.93,43.81,4.62,45.4,134.78,14.79,929.33,942.21
Italy,Bologna,284.47,995.82,111.22,13.38,50.8,82.69,26.38,433.76,463.25
Italy,Napoli,20.05,1261.47,2.16,0,9.2,3.68,5.01,625.15,626.71
Italy,Palermo,0.54,2651.71,0.48,0,0,0.06,0,731.89,743.81
Italy,Roma,394.55,7445.23,208.24,9.66,80.43,32.71,63.51,3251.41,3284.78
Italy,Torino,306.31,1697.52,136.53,11.66,96.43,32.37,29.32,863.3,884.51
Italy,Verona,480.1,6672.16,204.03,9.18,98.65,30.68,137.55,2150.25,2193
Latvia,Riga,157.51,1739.31,82.06,4.5,41.23,10.3,19.42,711.83,713.96
Lithuania,Vilnius,311.47,1973.23,178.18,10.46,50.65,6.81,65.37,1078.42,1185.59
Luxembourg,Luxembourg,429.57,4056.65,267.28,1.82,23.13,36.82,100.52,1085.53,1110.47
Macedonia,Skopje,99.25,959.8,60.56,0.69,24.02,1.97,12,577.75,591.87
Malta,Valletta,0.01,15.81,0,0,0,0,0.01,11.02,11.29
Montenegro,Podgorica,26.94,642.11,8.67,1.41,16.24,0,0.62,453.15,473.25
Netherlands,Amsterdam,1690.22,3766.67,653.67,388.82,371.32,131,145.41,2334.87,2442.53
Netherlands,Groningen,2040.54,6228.46,1066.7,139.16,405.59,172.76,256.32,2459.77,2507.41
Netherlands,Rotterdam,1505.47,3956.2,619.05,18.21,643.12,177.85,47.25,1998.97,2046.94
Norway,Oslo,706.06,1765.43,431.71,1.32,21.97,107.49,143.58,819.78,864.45
Poland,Białystok,207.66,802.91,93.16,4.47,75.39,2.41,32.23,367.73,435.57
Poland,Gdańsk,266.54,1298.36,107.1,25.75,55.88,37.44,40.36,663.63,678.44
Poland,Kraków,652.47,1930.85,472.07,13.97,65.05,31.91,69.47,1010.91,1111.03
Poland,Warszawa,816.71,3897.04,447.52,40.31,232.16,53.01,43.71,1724.43,1765.16
Portugal,Braga,30.91,1306.76,16.82,0,10.48,2.32,1.29,757.07,760.83
Portugal,Lisboa,17.89,146.21,9.31,0.46,4.66,1.91,1.56,75.18,80.63
Romania,Piatra Neamţ,25.61,205.37,5.92,0,5.48,0,14.21,26.81,27.77
Serbia,Beograd,157.98,2226.65,73.35,7.06,36.8,15,25.77,1140.19,1214.94
Slovakia,Bratislava,161.76,1242.65,70.6,2.87,21.93,43.49,22.87,617.33,661.7
Slovakia,Košice,51.03,652.7,37.65,2.08,7.13,0,4.18,283.76,285.5
Slovenia,Ljubljana,308.49,1218.96,73.2,38.09,110.3,63.12,23.79,532.14,550.13
Spain,Barcelona,3.72,2.75,3.6,0,0,0,0.12,0,0
Spain,Madrid,705.04,4976.41,294.67,13.36,133.3,212.77,50.94,2287.14,2455.22
Spain,Málaga,131.96,1727.28,23.9,4.35,58.62,44.33,0.75,756.07,815.75
Spain,Oviedo,43.46,835.19,31.06,0,2.71,7.84,1.84,238.07,263.6
Sweden,Malmö,480.76,935.62,268.39,5,94.92,15.76,96.69,57.03,513.12
Sweden,Stockholm,1104.81,2135.56,694.71,18.46,199.16,46.35,146.12,1248.3,1391.99
Switzerland,Genève,115.82,212.22,26.81,0.83,14.3,68.26,5.61,109.95,113.7
Switzerland,Zürich,257.02,787.89,70.74,1.68,20.23,124.28,40.09,428.12,443.52
Turkey,Ankara,73.64,8201.26,35.76,2.04,20.71,11.37,3.76,4318.65,4322.23
Turkey,Antalya,10.88,642.14,4.54,0.14,4.16,0.67,1.38,351.73,351.87
Turkey,Diyarbakir,13.5,2906.69,2.32,0,11.18,0,0,1183.27,1183.27
Turkey,Istanbul,357.54,14270.49,138.15,1.39,58.05,147.91,12.04,8093.25,8113.67
United Kingdom,Belfast,182.34,1241.89,87.38,1.36,18.87,53.42,21.31,838.3,847.39
United Kingdom,Cardiff,163.1,1238.42,82.8,2.96,14.25,20.79,42.3,778.59,845.07
United Kingdom,Glasgow,555.62,4501.26,336.81,3.24,61.9,61,92.66,2687.51,2749.71
United Kingdom,London,2359.27,15661.73,952.6,22.61,358.85,676.46,348.75,10944.64,11898.3
United Kingdom,Manchester,226.14,1478.43,112.19,2.21,22.76,60.05,28.92,1022.9,1106.96
