city_name,country,total_road_km,segregated_km,painted_km
Graz,Austria,1697.64,17.95,36.86
Wien,Austria,4390.85,217.23,269.53
Bruxelles / Brussel,Belgium,583.34,51.12,68.54
Liège,Belgium,910.65,11.75,36.03
Burgas,Bulgaria,978.92,32.03,2.13
Sofia,Bulgaria,3860.69,35.3,38.51
Zagreb,Croatia,4137.72,118.32,44.09
Ostrava,Czech Republic,1823.62,17.18,18.04
Praha,Czech Republic,5394.79,14.56,271.78
Aalborg,Denmark,2656.79,141.1,35.96
København,Denmark,4610.53,526.17,63.89
Tallinn,Estonia,2178.16,26.55,29.88
Helsinki / Helsingfors,Finland,2912,197.7,34.47
Oulu / Uleåborg,Finland,2.05,0,0
Bordeaux,France,5509.89,247.71,493.96
Lille,France,5130.75,216.63,450.63
Marseille,France,3072.8,82.62,50.22
Rennes,France,2630.46,155.5,260.31
Strasbourg,France,1008.97,136.47,45.31
Paris,France,6067.82,847.39,785.13
Berlin,Germany,10915.61,935.33,434.7
Dortmund,Germany,3450.92,118.94,117.34
Essen,Germany,2737.21,47.99,57.76
Hamburg,Germany,7711.97,546.97,189.74
Leipzig,Germany,2928.57,116.54,119.34
München,Germany,4257.86,678.78,50.28
Rostock,Germany,1397.74,38.74,22.16
Athina,Greece,9557.88,48.71,20.24
Budapest,Hungary,6631.77,97.88,244.38
Miskolc,Hungary,1032.65,7.92,18.68
Dublin,Ireland,2230.04,50.68,134.78
Bologna,Italy,1565.8,69.03,82.25
Napoli,Italy,1887.81,9.41,3.68
Roma,Italy,10338.48,96.29,32.71
Torino,Italy,2244.38,111.77,32.37
Verona,Italy,1542.12,24.35,13.81
Vilnius,Lithuania,3752.34,81.78,6.81
Luxembourg,Luxembourg,947.86,24.03,24.73
Riga,Latvia,3355.24,52.9,10.3
Amsterdam,Netherlands,4978.63,777.91,130.81
Groningen,Netherlands,3924.49,371.01,111.28
Rotterdam,Netherlands,5827.85,693.04,177.82
Białystok,Poland,1375.68,94.77,2.41
Gdańsk,Poland,2688.51,88.53,37.44
Kraków,Poland,4066.54,97.83,31.86
Warszawa,Poland,7505.32,318.97,53.01
Braga,Portugal,1466.03,10.49,2.32
Lisboa,Portugal,210.9,5.46,1.91
Piatra Neamţ,Romania,290.04,5.46,0
Bratislava,Slovakia,2459.84,31.2,43.49
Košice,Slovakia,1193.43,12.21,0
Barcelona,Spain,3.08,0,0
Madrid,Spain,6505.78,152.35,212.77
Málaga,Spain,2216.8,64.56,44.33
Oviedo,Spain,995.57,2.71,7.84
Malmö,Sweden,1194.59,104.24,15.76
Stockholm,Sweden,2829.6,226.32,46.23
Oslo,Norway,3340.94,26.16,107.49
